                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                 2.3657,                 2.7401,                 2.8765,                 0.0187,                0.14516,                0.01188,                0.00476,                 2.3241,                 5.5863,                 3.0925,               0.001905,               0.001905,               0.001905
                     50,                 2.5516,                 2.8255,                 3.0343,                0.01782,                0.20968,                0.00822,                0.00305,                 2.4346,                 4.5017,                  3.174,               0.001903,               0.001903,               0.001903
                     51,                 2.5115,                 2.7757,                 2.9833,                0.01793,                0.24194,                 0.0105,                 0.0035,                  2.375,                   4.74,                 3.1522,               0.001901,               0.001901,               0.001901
                     52,                 2.4419,                 2.9289,                 2.9295,                0.00561,                0.04839,                0.00734,                0.00228,                 2.7576,                 5.1167,                  3.388,               0.001899,               0.001899,               0.001899
                     53,                  2.517,                 2.7739,                 2.9387,                0.00561,                0.04839,                0.00734,                0.00228,                 2.7576,                 5.1167,                  3.388,               0.001897,               0.001897,               0.001897
                     54,                 2.4233,                 2.8738,                  2.906,                0.00712,                0.58065,                0.00819,                0.00309,                  2.805,                 4.5741,                 3.3874,              0.0018951,              0.0018951,              0.0018951
                     55,                 2.4402,                 2.8317,                 2.9539,                0.01449,                0.45161,                0.01181,                 0.0047,                  2.805,                 4.2248,                 3.3712,              0.0018931,              0.0018931,              0.0018931
                     56,                 2.3628,                 2.6544,                 2.8468,                0.04115,                0.22581,                0.02838,                0.01163,                 2.7473,                 3.3878,                 3.0666,              0.0018911,              0.0018911,              0.0018911
                     57,                 2.3773,                 2.7656,                 2.8752,                0.04115,                0.22581,                0.02838,                0.01163,                 2.7473,                 3.3878,                 3.0666,              0.0018891,              0.0018891,              0.0018891
                     58,                 2.3873,                 2.6933,                  2.803,                 0.0532,                0.30645,                0.04229,                  0.023,                 2.3282,                 3.1785,                 2.7435,              0.0018871,              0.0018871,              0.0018871
                     59,                 2.3939,                 2.6977,                 2.8064,                0.10758,                0.04839,                0.03446,                0.01672,                 2.2669,                 3.1447,                 2.7092,              0.0018852,              0.0018852,              0.0018852
                     60,                 2.4109,                 2.8222,                 2.8583,                0.05469,                0.22581,                 0.0464,                0.01852,                 2.2296,                 2.8681,                 2.6972,              0.0018832,              0.0018832,              0.0018832
                     61,                 2.2683,                 2.5099,                 2.7335,                0.05469,                0.22581,                 0.0464,                0.01852,                 2.2296,                 2.8681,                 2.6972,              0.0018812,              0.0018812,              0.0018812
                     62,                 2.5177,                 2.5979,                 2.8265,                 0.1142,                0.25806,                0.06416,                0.02932,                 2.1928,                 2.7949,                  2.782,              0.0018792,              0.0018792,              0.0018792
